"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 06 15:55:36 UTC 2026","Sun Sep 06 15:55:50 UTC 2026","13423","","org.example.ui.tests.CartUiTest","","org.example.ui.tests.CartUiTest","testRemoveProductFromInventory","Remove product directly from catalog page removes badge","Verify that removing an added product from the inventory page resets the badge."
"passed","Sun Sep 06 15:56:00 UTC 2026","Sun Sep 06 15:56:00 UTC 2026","112","","WireMock Integration & Simulation Tests","","org.example.api.tests.WireMockIntegrationTest","shouldSimulateRateLimitExceeded","Simulate 429 Too Many Requests with Retry-After Header",""
"passed","Sun Sep 06 15:56:06 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","208","","Read (GET) Operations","","org.example.api.tests.ProductCrudTest$ReadOperations","shouldGetProductsListWithPagination","GET /products - Get paginated list of products","Verifies retrieval of products list with limit and skip parameters."
"passed","Sun Sep 06 15:55:51 UTC 2026","Sun Sep 06 15:55:54 UTC 2026","3172","","org.example.ui.tests.CheckoutE2ETest","","org.example.ui.tests.CheckoutE2ETest","testCheckoutStepOneValidationErrors","Checkout step one mandatory fields validation Validation error when missing: Postal Code","Verify that missing required customer information triggers appropriate error messages."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","184","","Delete (DELETE) Operations","","org.example.api.tests.UserCrudTest$DeleteOperations","shouldReturn404WhenDeletingNonExistingUser","DELETE /users/{id} - Return 404 when deleting non-existing user","Verifies 404 response on deleting non-existent user."
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:55:55 UTC 2026","2605","","org.example.ui.tests.InventoryUiTest","","org.example.ui.tests.InventoryUiTest","testProductSorting","Sorting catalog products changes item order appropriately Sort products by: NAME_ZA","Verify that selecting each sort dropdown option correctly reorders products."
"passed","Sun Sep 06 15:56:01 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","4475","","org.example.ui.tests.CheckoutE2ETest","","org.example.ui.tests.CheckoutE2ETest","testFullE2ECheckoutFlow","Complete end-to-end checkout purchase flow","Verify that user can select products, fill shipping info, review tax and totals, finish order and view confirmation."
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","51","","PostgreSQL Database Integration Tests","","org.example.api.tests.DatabaseIntegrationTest","shouldQueryUserByUsernameSuccessfully","Query User by Username and Verify Mapped Record",""
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","272","","Create (POST) Operations","","org.example.api.tests.ProductCrudTest$CreateOperations","shouldCreateProductWithMinimalPayload","POST /products/add - Successfully create product with minimal payload (Parameterized) POST /products/add - Title: Mechanical RGB Keyboard, Price: 129.50","Verifies product creation with different minimal payloads."
"passed","Sun Sep 06 15:56:04 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","517","","Delete (DELETE) Operations","","org.example.api.tests.UserCrudTest$DeleteOperations","shouldDeleteUserByIdSuccessfully","DELETE /users/{id} - Successfully delete user","Verifies deleting user and checking isDeleted and deletedOn flags."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","561","","Create (POST) Operations","","org.example.api.tests.UserCrudTest$CreateOperations","shouldCreateUserWithFullProfile","POST /users/add - Successfully create user with full profile","Verifies creating a user with personal info, address, company and credentials."
"passed","Sun Sep 06 15:55:50 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","2403","","org.example.ui.tests.LoginUiTest","","org.example.ui.tests.LoginUiTest","testSuccessfulLogin","Successful login with standard user credentials","Verify that a standard user can successfully log in and is redirected to the product inventory catalog."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","214","","Update (PUT/PATCH) Operations","","org.example.api.tests.UserCrudTest$UpdateOperations","shouldFullyUpdateUserViaPut","PUT /users/{id} - Fully update user information","Verifies updating user data via PUT request."
"passed","Sun Sep 06 15:55:57 UTC 2026","Sun Sep 06 15:56:01 UTC 2026","3451","","org.example.ui.tests.CheckoutE2ETest","","org.example.ui.tests.CheckoutE2ETest","testCheckoutStepOneValidationErrors","Checkout step one mandatory fields validation Validation error when missing: Last Name","Verify that missing required customer information triggers appropriate error messages."
"passed","Sun Sep 06 15:56:00 UTC 2026","Sun Sep 06 15:56:01 UTC 2026","251","","WireMock Integration & Simulation Tests","","org.example.api.tests.WireMockIntegrationTest","shouldSimulateStatefulScenarioTransition","Simulate Order Processing State Machine (PENDING -> COMPLETED)",""
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:56:00 UTC 2026","7463","","WireMock Integration & Simulation Tests","","org.example.api.tests.WireMockIntegrationTest","shouldMockExternalPaymentGatewaySuccess","Mock External Payment Gateway Successful 200 Response",""
"passed","Sun Sep 06 15:55:55 UTC 2026","Sun Sep 06 15:55:58 UTC 2026","2756","","org.example.ui.tests.LoginUiTest","","org.example.ui.tests.LoginUiTest","testInvalidCredentialsLogin","Login attempt with invalid credentials displays error message Login with invalid username: ""invalid_user"", password: ""secret_sauce""","Verify that entering invalid credentials shows the appropriate mismatch error message."
"passed","Sun Sep 06 15:56:06 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","235","","Read (GET) Operations","","org.example.api.tests.ProductCrudTest$ReadOperations","shouldSearchProductsByQuery","GET /products/search - Search products by query","Verifies searching products by keyword query."
"passed","Sun Sep 06 15:56:02 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","2622","","org.example.ui.tests.LoginUiTest","","org.example.ui.tests.LoginUiTest","testEmptyUsernameValidation","Login attempt with empty username displays validation error","Verify that submitting empty username field displays 'Username is required' validation error."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","253","","Create (POST) Operations","","org.example.api.tests.ProductCrudTest$CreateOperations","shouldCreateProductWithMinimalPayload","POST /products/add - Successfully create product with minimal payload (Parameterized) POST /products/add - Title: Wireless Gaming Mouse, Price: 49.99","Verifies product creation with different minimal payloads."
"passed","Sun Sep 06 15:56:06 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","192","","Update (PUT/PATCH) Operations","","org.example.api.tests.ProductCrudTest$UpdateOperations","shouldReturn404WhenUpdatingNonExistingProduct","PUT /products/{id} - Return 404 when updating non-existing product","Verifies that updating a non-existent product ID returns 404 Not Found."
"passed","Sun Sep 06 15:55:39 UTC 2026","Sun Sep 06 15:55:51 UTC 2026","11680","","org.example.ui.tests.CheckoutE2ETest","","org.example.ui.tests.CheckoutE2ETest","testCancelCheckoutStepTwoReturnsToInventory","Cancel from checkout step two returns to inventory","Verify that clicking Cancel on checkout overview returns to inventory page."
"passed","Sun Sep 06 15:56:01 UTC 2026","Sun Sep 06 15:56:04 UTC 2026","3066","","org.example.ui.tests.CartUiTest","","org.example.ui.tests.CartUiTest","testAddSingleProductToCart","Add single product to cart updates badge and cart items","Verify that clicking Add to Cart for a product increments the header badge count and adds the item into the cart."
"passed","Sun Sep 06 15:55:55 UTC 2026","Sun Sep 06 15:55:58 UTC 2026","2933","","org.example.ui.tests.InventoryUiTest","","org.example.ui.tests.InventoryUiTest","testProductSorting","Sorting catalog products changes item order appropriately Sort products by: NAME_AZ","Verify that selecting each sort dropdown option correctly reorders products."
"passed","Sun Sep 06 15:56:01 UTC 2026","Sun Sep 06 15:56:02 UTC 2026","151","","WireMock Integration & Simulation Tests","","org.example.api.tests.WireMockIntegrationTest","shouldSimulateInternalServerError","Simulate 500 Internal Server Error from Third-Party Service",""
"passed","Sun Sep 06 15:56:01 UTC 2026","Sun Sep 06 15:56:01 UTC 2026","252","","WireMock Integration & Simulation Tests","","org.example.api.tests.WireMockIntegrationTest","shouldMockWebhookDeliveryAndVerifyRequestPayload","Mock External Webhook Delivery and Verify Headers and Body",""
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","543","","Update (PUT/PATCH) Operations","","org.example.api.tests.ProductCrudTest$UpdateOperations","shouldFullyUpdateProductViaPut","PUT /products/{id} - Fully update product","Verifies full update of an existing product via PUT request."
"passed","Sun Sep 06 15:56:04 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","1015","","Create (POST) Operations","","org.example.api.tests.ProductCrudTest$CreateOperations","shouldCreateProductWithFullPayload","POST /products/add - Successfully create product with full payload","Verifies that a new product can be created with all valid attributes and returns 201 Created."
"passed","Sun Sep 06 15:55:54 UTC 2026","Sun Sep 06 15:55:57 UTC 2026","3365","","org.example.ui.tests.CheckoutE2ETest","","org.example.ui.tests.CheckoutE2ETest","testCheckoutStepOneValidationErrors","Checkout step one mandatory fields validation Validation error when missing: First Name","Verify that missing required customer information triggers appropriate error messages."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","113","","Read (GET) Operations","","org.example.api.tests.ProductCrudTest$ReadOperations","shouldGetProductByIdSuccessfully","GET /products/{id} - Successfully get product by ID","Verifies that an existing product can be retrieved by its ID with correct attributes."
"passed","Sun Sep 06 15:55:58 UTC 2026","Sun Sep 06 15:56:02 UTC 2026","3946","","org.example.ui.tests.LoginUiTest","","org.example.ui.tests.LoginUiTest","testSuccessfulLogout","Successful logout redirects back to login page","Verify that logging out from sidebar menu redirects user back to login page and clears session."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","165","","Read (GET) Operations","","org.example.api.tests.ProductCrudTest$ReadOperations","shouldReturn404ForNonExistingProduct","GET /products/{id} - Return 404 for non-existing product","Verifies that requesting a non-existent product ID returns HTTP 404 Not Found."
"passed","Sun Sep 06 15:55:36 UTC 2026","Sun Sep 06 15:55:50 UTC 2026","13375","","org.example.ui.tests.LoginUiTest","","org.example.ui.tests.LoginUiTest","testLockedOutUserLogin","Login attempt with locked-out user displays access error banner","Verify that attempting to log in as a locked-out user shows the proper lockout error message."
"passed","Sun Sep 06 15:55:50 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","3199","","org.example.ui.tests.CartUiTest","","org.example.ui.tests.CartUiTest","testRemoveProductFromCartPage","Remove product from cart page updates item list","Verify that removing an item inside the shopping cart page updates the cart and badge."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","207","","Read (GET) Operations","","org.example.api.tests.UserCrudTest$ReadOperations","shouldReturn404ForNonExistingUser","GET /users/{id} - Return 404 for non-existing user","Verifies that requesting a non-existent user returns 404 Not Found."
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","95","","PostgreSQL Database Integration Tests","","org.example.api.tests.DatabaseIntegrationTest","shouldVerifyDatabaseConnectivityAndSeedData","Verify Database Connectivity and Seed Data Record Counts",""
"passed","Sun Sep 06 15:55:57 UTC 2026","Sun Sep 06 15:56:01 UTC 2026","3626","","org.example.ui.tests.CartUiTest","","org.example.ui.tests.CartUiTest","testAddMultipleProductsToCart","Add multiple products to cart updates badge count appropriately","Verify that adding multiple items correctly increments badge count and lists all items in cart."
"passed","Sun Sep 06 15:56:04 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","279","","Create (POST) Operations","","org.example.api.tests.UserCrudTest$CreateOperations","shouldCreateUserWithMinimalDetails","POST /users/add - Successfully create user with minimal details (Parameterized) POST /users/add - Name: Alice Smith, Email: alice.smith.test@example.com","Verifies user creation with minimal required fields."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:07 UTC 2026","1407","","org.example.ui.tests.CheckoutE2ETest","","org.example.ui.tests.CheckoutE2ETest","testCancelCheckoutStepOneReturnsToCart","Cancel from checkout step one returns to cart","Verify that clicking Cancel on checkout step one navigates back to cart."
"passed","Sun Sep 06 15:56:01 UTC 2026","Sun Sep 06 15:56:01 UTC 2026","502","","WireMock Integration & Simulation Tests","","org.example.api.tests.WireMockIntegrationTest","shouldSimulateLatencyAndVerifyResponseTime","Simulate Network Latency with Fixed Delay and Validate Response Timing",""
"passed","Sun Sep 06 15:56:02 UTC 2026","Sun Sep 06 15:56:04 UTC 2026","2592","","Create (POST) Operations","","org.example.api.tests.UserCrudTest$CreateOperations","shouldCreateUserWithMinimalDetails","POST /users/add - Successfully create user with minimal details (Parameterized) POST /users/add - Name: John Doe, Email: john.doe.test@example.com","Verifies user creation with minimal required fields."
"passed","Sun Sep 06 15:55:36 UTC 2026","Sun Sep 06 15:55:50 UTC 2026","13356","","org.example.ui.tests.InventoryUiTest","","org.example.ui.tests.InventoryUiTest","testProductSorting","Sorting catalog products changes item order appropriately Sort products by: PRICE_LOW_HIGH","Verify that selecting each sort dropdown option correctly reorders products."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","303","","Read (GET) Operations","","org.example.api.tests.UserCrudTest$ReadOperations","shouldGetUsersListWithPagination","GET /users - Get paginated users list","Verifies retrieving users list with limit and skip query parameters."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:05 UTC 2026","187","","Delete (DELETE) Operations","","org.example.api.tests.ProductCrudTest$DeleteOperations","shouldReturn404WhenDeletingNonExistingProduct","DELETE /products/{id} - Return 404 when deleting non-existing product","Verifies that attempting to delete a non-existent product ID returns 404 Not Found."
"passed","Sun Sep 06 15:56:05 UTC 2026","Sun Sep 06 15:56:06 UTC 2026","172","","Read (GET) Operations","","org.example.api.tests.UserCrudTest$ReadOperations","shouldGetUserByIdSuccessfully","GET /users/{id} - Successfully get user by ID","Verifies retrieving single user by ID with all detailed properties."
"passed","Sun Sep 06 15:55:53 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","47","","PostgreSQL Database Integration Tests","","org.example.api.tests.DatabaseIntegrationTest","shouldCascadeDeleteOrdersWhenUserIsDeleted","Delete User and Verify Cascading Order Removal",""
"passed","Sun Sep 06 15:55:50 UTC 2026","Sun Sep 06 15:55:53 UTC 2026","2399","","org.example.ui.tests.InventoryUiTest","","org.example.ui.tests.InventoryUiTest","testProductSorting","Sorting catalog products changes item order appropriately Sort products by: PRICE_HIGH_LOW","Verify that selecting each sort dropdown option correctly reorders products."
